Date,Open,High,Low,Close,Volume,Market Cap
Jan-08-2022,36564.243611645805,37229.0385497228,35771.26166969879,36748.87274334593,75394080241.38818,694637107923.0096
Jan-07-2022,37967.0581111315,37967.0581111315,36102.961485106294,36537.63146151673,77642713517.2868,699563717754.6903
Jan-06-2022,38201.66014034884,38491.91141458709,37491.00917205099,37951.27649068967,97934629773.48538,717731921271.4688
Jan-05-2022,40355.40158265821,41359.16883843864,37406.44974471228,38312.722931183656,96064016216.67981,764424313631.3921
Jan-04-2022,40849.62677207352,41801.8737529364,40227.32444573317,40385.24168333654,65724505778.04299,773150274615.2869
Jan-03-2022,41641.64547703731,41819.79971091713,40225.554538544566,40860.42305326056,102094804702.07826,779569996343.831
Jan-02-2022,42003.381275144806,42132.03379074768,41105.46397586979,41643.12897113017,65602786283.45685,786526777391.2029
Jan-01-2022,40661.383809202955,42106.68552408833,40661.383809202955,41846.32691087329,87498972220.58417,784373698867.4259
Dec-31-2021,41489.742283058236,42692.59212317886,40233.94987215249,40755.33621688341,68740009181.34148,787352363344.0121
Dec-30-2021,40865.82297563915,42138.53030575872,40555.34192187679,41508.79772287398,108192364099.19847,784015583068.7948
Dec-29-2021,41849.289586320345,42345.83188931135,40726.91912959533,40846.30250517172,77690672717.40971,792036396565.7991
Dec-28-2021,44595.46804914252,44595.46804914252,41729.45859033053,41928.523309472446,52279381419.88071,813376916881.3673
Dec-27-2021,44700.44846342334,45724.63480344914,44411.7588499751,44579.786497369336,41330502152.01749,849861735612.6709
Dec-26-2021,44351.13903503695,45072.047132133914,43607.53734449338,44711.639607014324,37557640038.879196,834616117554.3175
Dec-25-2021,44684.14734075653,44973.97200592518,44236.53866634277,44562.01607686753,37018196409.55214,845931630860.7148
Dec-24-2021,44707.7838417584,45547.7996281071,44415.70802659069,44686.95035685712,47993414488.318,849285123008.9857
Dec-23-2021,42769.18803452655,45188.71995096833,42321.887371031946,44707.8768497415,42563643808.46707,816721828921.5914
Dec-22-2021,43042.55907351811,43591.50254700297,42645.819839400174,42818.01919083507,46415213129.58039,814909225614.4315
Dec-21-2021,41289.46764074847,43359.15887766451,41064.45285877622,43073.61800929263,54772194970.603455,805412358313.0387
Dec-20-2021,41108.70448107914,41637.604555361526,40150.03949724097,41260.08374646067,44939092409.27675,772453872990.6106
Dec-19-2021,41171.90154352192,42247.23591983204,40887.665818315836,41091.15483700048,39313856422.04182,785053789030.2985
Dec-18-2021,40630.75414336332,41582.17572472456,40142.86821292407,41253.56214036151,51751051996.318886,775447979094.0366
Dec-17-2021,41936.52687232269,42215.3659358775,40251.696085751246,40755.66852412356,50287607897.142845,783058735123.4346
Dec-16-2021,43003.26324692894,43379.33025370216,41851.47165606525,41991.25693448774,61699373883.05202,808162558372.9059
Dec-15-2021,42561.26449558672,43534.21411871139,41070.92536409636,42940.12748103495,54014306805.88305,800429677757.9264
Dec-14-2021,41127.68417374528,42737.81738407794,40830.78424072475,42595.15588847027,59405170482.52959,784917194404.7847
Dec-13-2021,44070.27291138856,44153.01654645301,40441.59953316804,41143.19735884362,47651064835.74535,801891447887.1687
Dec-12-2021,43379.53912454554,44579.20983461003,42882.79572873568,44110.50799834161,41145272143.29715,824314796802.6694
Dec-11-2021,41481.51595405261,43523.49710027558,41356.49238801622,43379.432664273096,55705334885.13691,805843817432.607
Dec-10-2021,41929.54106721553,43952.6714568103,41448.35028943757,41448.35028943757,86570761369.17024,802215330170.62
Dec-09-2021,44412.44082366436,44662.13875955304,41703.390516727704,42102.00620991927,119617423869.55148,815731806880.557
Dec-08-2021,44525.933936738096,44922.91645999429,42877.980388480944,44422.27957087162,112752402232.80554,836081965007.4141
Dec-07-2021,44465.69517401852,45678.3918589576,44152.69066003414,44500.37592438225,132834128487.73181,847374814953.5496
Dec-06-2021,43451.716690034664,44771.71345998113,41567.146488079474,44406.28725234408,145555233432.89795,811240024109.6025
Dec-05-2021,43321.06051177002,43685.28940824774,42053.98950332213,43319.18262159943,120487680744.67795,815727907241.6053
Dec-04-2021,47130.549240473905,47346.42539974247,39297.276109452025,43139.80831680994,146276660079.81403,814296887237.8513
Dec-03-2021,49719.100467232034,50493.720428747976,46360.96644497817,47271.732638366295,101160631476.4793,928388029598.8765
Dec-02-2021,50336.68609159377,50474.641406096445,49202.51355760209,49645.49193002129,117519183969.5992,941940361497.5674
Dec-01-2021,50142.19468948533,51892.640883530534,49769.88068411524,50320.92892870691,112333870468.60497,953460547653.3497
Nov-30-2021,50844.223359193114,51924.30439485676,49340.41062553194,50195.10799259918,98329923404.78299,952682890251.3898
Nov-29-2021,50356.102959980715,51730.67272562444,49988.250691578454,50940.03993979482,91824800314.42897,956577244687.3639
Nov-28-2021,48249.21943111721,50445.85491767771,47202.24816906639,50308.244935725364,63721143994.91234,907187992279.0531
Nov-27-2021,47140.269782300296,48587.59850022719,47140.269782300296,47957.17029875395,75412342676.32916,908168279988.6953
Nov-26-2021,51852.847652725126,52034.521754060894,47229.059904202484,47232.05930914191,79977890512.96262,925074015751.8181
Nov-25-2021,50338.588889504994,52221.88248403186,50178.40536850174,51847.085035657634,74940261632.83025,967700743631.9077
Nov-24-2021,50636.084744940024,50779.27773068971,49262.37781774911,50259.65380150312,81039926356.80861,942890497750.7296
Nov-23-2021,49515.43208613725,50900.716967876826,49093.08188982123,50760.51973134344,70652888300.16583,945596339021.2091
Nov-22-2021,51675.334716141864,51982.57900013114,49014.67765798926,49613.67939100609,57113965435.71675,952697422695.8534
Nov-21-2021,52518.36300431079,52672.62206166433,51528.38171573597,51648.207537654496,47877385865.42436,982322602728.5211
Nov-20-2021,51109.24976528091,52646.54607744736,50596.68007136262,52646.54607744736,54279987005.845474,974514373047.8849
Nov-19-2021,50133.29888988098,51303.43126770753,48983.08051002976,51090.01314631422,86760075997.30125,950017856776.8442
Nov-18-2021,53114.973476657084,53568.36975837222,49765.62800076397,49947.91408672478,76267193655.56044,980265384626.4354
Nov-17-2021,52906.48146086532,53455.063551285064,51716.20014276045,53107.3501389318,84995284068.55748,994490608785.9015
Nov-16-2021,55986.38794052645,55986.38794052645,51844.76006650419,52976.27245594626,90817053070.25432,1009783246940.9122
Nov-15-2021,57649.647197443635,58321.61023928476,55924.42081068774,56079.482696399195,81778492839.72435,1081331870242.0345
Nov-14-2021,56668.666633220935,57434.27858138005,55997.439377416566,57434.27858138005,52148791294.817154,1070676743976.0615
Nov-13-2021,56482.56442620252,57077.74542103867,55812.87626006605,56744.23753665914,57508581970.26272,1063504304770.913
Nov-12-2021,57011.11762516474,57544.222558439804,54951.33906858828,56607.21568366082,63263551162.23418,1065748316179.0619
Nov-11-2021,57151.35668598776,57719.88943750925,56504.77473175251,57034.08649242632,88753405495.13321,1077891202933.8081
Nov-10-2021,58908.0067504102,60527.92794781456,55755.350832490585,57096.481387306245,72626352108.61139,1110454173059.7073
Nov-09-2021,59419.78651379787,60269.57272752749,58405.8653246128,58893.82336606614,77304490592.93803,1120887539016.818
Nov-08-2021,55694.38317685208,59559.77535032201,55694.38317685208,59410.1975459363,65348778817.0881,1092016211572.0035
Nov-07-2021,54088.83039478926,55608.0416564724,53982.35639081415,55608.0416564724,45471183242.00791,1030840179489.039
Nov-06-2021,53652.81550686535,54151.66988468009,52881.8786641776,54055.61010903685,59633585781.30151,1011702576060.1752
Nov-05-2021,54058.21637684974,54991.78724192274,53486.76904580217,53712.09564064013,68705034954.013596,1020808664112.4219
Nov-04-2021,55367.3742038795,55492.02012744309,53460.323185398556,54013.03312356964,80149965633.63373,1026180330410.5227
Nov-03-2021,55596.86512279004,55841.64621933396,54263.58447375682,55397.992720309776,68720658395.0099,1042725319050.8615
Nov-02-2021,53635.82324057886,56391.74883759014,53408.97492888092,55603.97474826194,65178584958.00959,1037471859173.9434
Nov-01-2021,53944.511388700324,54893.46887703208,52522.65324257639,53746.43302802717,67060899854.784904,1016769059086.3456
Oct-30-2021,54442.55375626801,54902.99154439172,52927.655915322626,53988.425701364155,65932406905.42809,1013869182685.1155
Oct-29-2021,54767.39195434986,54767.39195434986,53565.72853761279,54271.2284460911,72816164096.0886,1022493702432.6898
Oct-28-2021,53336.835957938434,55401.47686267604,53108.93338870689,54763.23827158013,76386479221.15656,1021852337465.3276
Oct-27-2021,51434.23478373376,54516.63027243307,51259.81222863852,53195.20817007489,87728439879.78705,999232221358.1567
Oct-26-2021,53101.275514470115,54080.97960408559,51312.77211057761,51648.13966936257,74318862220.90787,987105598544.1345
Oct-25-2021,55513.524251083894,55687.65635555145,52858.288247611046,53158.021297887906,74829930027.81961,1034075121837.0027
Oct-24-2021,53586.89862387016,56050.46212315245,53438.31955618326,55440.295149385376,109435200901.74377,1038881516998.7019
Oct-23-2021,53979.65408315136,54050.073184535046,52503.75401421197,53556.83564574516,69245619083.46773,1007338708753.5677
